Average_rating_F,Average_popularity_F,Average_dist_F,Average_rating_Y,Average_review_count_Y,Average_distance_Y,Number of Bikes
,0.7638378934823409,773.71875,3.7875,8.2,725.0414117282841,0
,0.956641047050176,731.78,4.57,84.62,908.625996067834,11
8.636,0.960727340198534,486.32,4.62,62.68,622.0032507724296,12
,0.7453347875696887,768.75,3.98936170212766,7.0,871.4898200052584,5
8.304000000000004,0.966570325490448,773.08,4.58,39.0,829.4184839356001,8
,0.9369418666008438,707.5294117647059,4.49,62.22,890.7095979772332,13
8.856000000000002,0.951459319046294,689.44,4.67,47.92,804.6076998376577,12
8.6,0.957659123509388,586.64,4.59,49.94,794.6855106893937,20
8.719999999999999,0.9676196593090556,733.42,4.63,23.82,890.6538331404222,0
8.542000000000003,0.9543327124679756,770.2,4.59,20.14,852.7868453391668,5
,0.8383695635921407,833.9722222222222,4.57,39.96,748.8961591386241,1
8.819999999999999,0.9544850028902352,645.16,4.68,19.02,617.6927168952143,4
8.55,0.941469952257595,722.08,4.66,24.76,659.7856130544959,6
8.657999999999998,0.9720165278640092,775.64,4.61,45.56,837.0422795946229,26
,0.8863761009693013,61045.02702702703,4.45,62.08,681.7329447939985,5
,0.8678160556819837,3916.40625,4.57,69.06,786.5174375072479,0
8.376000000000003,0.9641974780020978,659.42,4.59,53.76,701.2516819323386,23
,0.95903026884725,498.6206896551725,4.51,98.6,791.3307786157317,8
8.637999999999998,0.9704606535499936,693.38,4.61,48.34,678.8671298703136,5
,0.8973278785413492,687.2954545454545,4.51,69.3,900.1804263942103,6
8.718,0.9541772820370094,644.42,4.66,32.48,711.5614866922841,0
,0.921608663161683,743.9714285714285,4.6,74.08,970.5627504950376,0
,0.8168506244581375,649.1794871794872,4.56,42.98,773.8598251002084,11
8.950000000000003,0.9498255154252928,662.48,4.65,42.54,740.7169202258219,31
8.604,0.976412023813244,515.32,4.58,19.88,542.9550933693641,17
,0.8336483332976514,770.12,4.59,60.2,658.6226913710783,0
8.818000000000001,0.9806682509437868,626.42,4.65,32.98,760.0842396756624,15
